Timestamp,counts_0,counts_1,humidity,temperature,pressure,Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
2025-06-06 11:06:20,48,37,68.13,27.9,97.89,327.6666666666667,50.666666666666664,32.21
2025-06-06 11:11:20,45,32,71.5,27.8,97.89,330.6,50.2,32.414
2025-06-06 11:16:20,36,35,71.5,27.8,97.88,332.0,49.8,32.702
2025-06-06 11:21:20,35,27,70.0,28.1,97.87,331.6,49.8,33.04
2025-06-06 11:26:20,30,36,66.14,28.2,97.88,332.4,49.8,33.44
2025-06-06 11:31:20,35,39,67.16,27.8,97.86,332.4,49.8,34.05
2025-06-06 11:36:20,30,31,66.08,28.6,97.87,331.6,49.8,34.164
2025-06-06 11:41:20,34,36,65.9,27.7,97.88,332.2,49.8,34.39
2025-06-06 11:46:20,30,30,70.25,28.0,97.87,333.0,49.6,34.888
2025-06-06 11:51:20,29,37,70.63,28.1,97.87,329.2,50.2,35.226
2025-06-06 11:56:20,33,31,64.25,28.2,97.86,330.4,50.0,36.114
2025-06-06 12:01:20,30,26,65.75,28.6,97.86,328.6,50.4,36.876
2025-06-06 12:06:20,27,37,66.15,28.9,97.87,331.4,50.0,37.763999999999996
2025-06-06 12:11:20,23,35,65.93,29.2,97.87,337.0,48.8,38.688
2025-06-06 12:16:20,26,30,64.42,29.1,97.86,332.6,49.6,38.926
2025-06-06 12:21:20,41,30,69.44,29.3,97.87,330.8,50.2,39.738
2025-06-06 12:26:20,40,32,64.54,29.3,97.85,331.0,50.0,39.628
2025-06-06 12:31:20,35,30,65.41,28.5,97.86,327.6,50.8,39.426
2025-06-06 12:36:20,32,29,64.82,28.6,97.85,328.4,50.2,39.938
2025-06-06 12:41:20,43,34,61.47,28.9,97.84,330.4,50.0,40.501999999999995
2025-06-06 12:46:20,40,34,65.11,29.3,97.84,329.4,50.6,41.102
2025-06-06 12:51:20,29,36,64.25,29.4,97.83,328.0,50.4,41.726
2025-06-06 12:56:20,37,26,58.73,29.7,97.82,329.2,50.2,42.45
2025-06-06 13:01:20,31,36,61.4,29.8,97.82,326.8,50.6,41.814
2025-06-06 13:06:20,26,43,61.71,29.5,97.83,326.6,50.8,41.798
2025-06-06 13:11:20,32,35,58.39,29.9,97.83,325.6,51.0,41.976
2025-06-06 13:16:20,34,38,62.27,29.5,97.84,322.4,51.6,41.902
2025-06-06 13:21:20,35,35,63.83,29.2,97.83,323.8,51.4,40.815999999999995
2025-06-06 13:26:20,35,30,61.44,29.1,97.82,324.4,51.2,40.688
2025-06-06 13:31:20,31,38,58.07,29.5,97.82,325.2,51.0,39.69
2025-06-06 13:36:20,33,31,59.57,29.1,97.81,323.8,51.2,38.775999999999996
2025-06-06 13:41:20,30,24,61.9,29.4,97.81,322.8,51.2,39.19
2025-06-06 13:46:20,32,34,60.9,30.1,97.79,324.8,50.8,40.226
2025-06-06 13:51:20,27,34,59.43,30.2,97.80,321.2,51.8,41.025999999999996
2025-06-06 13:56:20,36,33,56.68,30.8,97.78,323.8,51.2,41.976
2025-06-06 14:01:20,43,34,55.6,30.9,97.78,323.0,51.4,42.688
2025-06-06 14:06:20,28,40,57.06,30.6,97.77,326.4,50.8,42.926
2025-06-06 14:11:20,39,35,56.37,30.4,97.76,321.8,51.8,41.726
2025-06-06 14:16:20,40,33,61.05,29.9,97.76,323.4,51.2,41.874
2025-06-06 14:21:20,29,29,58.63,30.2,97.75,324.2,51.2,41.638
2025-06-06 14:26:20,30,32,58.55,30.1,97.74,324.0,51.0,40.392
2025-06-06 14:31:20,26,37,59.35,29.6,97.73,323.0,51.2,39.338
2025-06-06 14:36:20,30,37,59.6,29.3,97.72,324.0,51.4,39.914
2025-06-06 14:41:20,31,44,59.93,29.7,97.70,323.6,51.2,41.114
2025-06-06 14:46:20,49,33,56.32,30.2,97.69,327.0,50.6,42.226
2025-06-06 14:51:20,41,34,56.23,30.7,97.69,328.4,50.4,43.428
2025-06-06 14:56:20,34,35,53.73,31.2,97.68,328.2,50.6,43.488
2025-06-06 15:01:20,44,29,55.39,30.7,97.67,323.2,51.4,43.513999999999996
2025-06-06 15:06:20,41,38,54.82,30.6,97.67,327.8,50.4,44.39
2025-06-06 15:11:20,34,31,54.99,31.0,97.66,331.4,49.8,45.326
2025-06-06 15:16:20,36,37,55.06,31.1,97.65,328.0,50.6,44.762
2025-06-06 15:21:20,36,31,54.84,30.6,97.64,330.4,50.2,45.726
2025-06-06 15:26:20,31,37,52.95,31.5,97.63,330.6,50.2,46.538
2025-06-06 15:31:20,33,35,52.76,31.6,97.61,328.0,50.8,46.751999999999995
2025-06-06 15:36:20,25,36,52.27,31.4,97.61,326.8,50.8,46.263999999999996
2025-06-06 15:41:20,29,42,54.81,30.9,97.60,326.0,51.0,46.839999999999996
2025-06-06 15:46:20,28,32,53.84,31.3,97.60,326.8,50.8,47.489999999999995
2025-06-06 15:51:20,38,33,54.13,31.4,97.59,327.0,50.8,47.888
2025-06-06 15:56:20,31,38,57.05,31.4,97.59,325.6,51.2,48.302
2025-06-06 16:01:20,43,38,50.97,31.6,97.58,327.6,50.6,48.552
2025-06-06 16:06:20,41,31,53.26,31.8,97.57,328.0,50.6,48.44
2025-06-06 16:11:20,38,30,54.57,31.6,97.55,326.4,50.8,48.202
2025-06-06 16:16:20,38,41,53.35,31.2,97.54,327.2,50.8,47.424
2025-06-06 16:21:20,39,29,54.59,31.4,97.55,326.5,50.75,46.3125
2025-06-06 16:26:20,34,30,54.26,31.1,97.54,328.0,50.6,45.501999999999995
2025-06-06 16:31:20,30,21,53.7,31.0,97.53,328.6,50.4,44.064
2025-06-06 16:36:20,40,32,57.6,30.4,97.52,324.8,51.0,44.726
2025-06-06 16:41:20,38,28,58.49,31.4,97.51,325.6,50.8,45.25
2025-06-06 16:46:20,35,27,55.15,31.7,97.52,325.6,51.2,45.763999999999996
2025-06-06 16:51:20,27,35,52.91,31.6,97.52,323.8,51.4,46.176
2025-06-06 16:56:20,41,34,54.61,31.7,97.52,324.2,51.2,46.238
2025-06-06 17:01:20,22,29,52.89,31.6,97.52,325.6,51.0,46.126
2025-06-06 17:06:20,34,31,53.69,31.5,97.52,325.6,51.0,45.964
2025-06-06 17:11:20,33,39,55.42,31.3,97.54,326.4,50.8,44.9
2025-06-06 17:16:20,35,35,54.79,30.9,97.54,326.2,51.0,45.076
2025-06-06 17:21:20,26,30,55.84,31.3,97.54,326.6,50.8,45.364
2025-06-06 17:26:20,38,29,54.44,31.7,97.54,328.8,50.4,45.378
2025-06-06 17:31:20,33,43,56.49,31.6,97.54,326.6,51.0,44.688
2025-06-06 17:36:20,34,43,54.75,31.1,97.55,329.2,50.4,43.39
2025-06-06 17:41:20,38,34,55.98,30.8,97.54,327.4,50.6,42.338
2025-06-06 17:46:20,33,35,56.57,30.7,97.53,329.0,50.4,41.576
2025-06-06 17:51:20,27,28,58.03,30.7,97.52,329.4,50.4,40.664
2025-06-06 17:56:20,34,33,57.53,30.7,97.52,328.6,50.6,39.614
2025-06-06 18:01:20,20,36,57.81,30.3,97.52,329.2,50.4,38.588
2025-06-06 18:06:20,39,37,59.02,30.1,97.51,330.4,50.0,37.714
2025-06-06 18:11:20,41,36,62.31,30.0,97.50,331.0,50.0,36.95
2025-06-06 18:16:20,36,23,59.87,30.0,97.49,329.6,50.2,36.35
2025-06-06 18:21:20,19,23,62.28,30.0,97.49,330.0,50.2,35.9
2025-06-06 18:26:20,35,35,62.17,29.9,97.48,329.4,50.4,35.564
2025-06-06 18:31:20,34,37,62.29,29.9,97.48,329.2,50.4,35.251999999999995
2025-06-06 18:36:20,39,34,62.98,29.9,97.48,330.4,50.0,34.976
2025-06-06 18:41:20,38,40,65.76,29.9,97.47,331.6,49.8,34.726
2025-06-06 18:46:20,37,33,62.17,30.0,97.47,331.0,50.0,34.438
2025-06-06 18:51:20,30,27,62.81,29.7,97.48,330.4,50.0,34.102
2025-06-06 18:56:20,27,27,61.51,29.7,97.47,331.4,50.2,33.69
2025-06-06 19:01:20,33,39,64.82,29.3,97.47,330.8,50.2,33.263999999999996
2025-06-06 19:06:20,33,25,65.12,29.2,97.48,333.4,49.4,32.763999999999996
2025-06-06 19:11:20,40,32,66.01,29.2,97.49,336.6,48.8,32.314
2025-06-06 19:16:20,27,35,66.7,29.0,97.50,334.8,49.2,31.874000000000002
2025-06-06 19:21:20,45,37,65.4,28.8,97.51,333.0,49.6,31.448
2025-06-06 19:26:20,46,29,68.49,28.6,97.50,332.2,49.6,31.024
2025-06-06 19:31:20,43,22,69.19,28.3,97.51,333.2,49.6,30.674
2025-06-06 19:36:20,36,33,69.37,28.1,97.52,333.6,49.6,30.336000000000002
2025-06-06 19:41:20,30,34,70.3,28.0,97.51,333.8,49.4,30.024
2025-06-06 19:46:20,42,35,70.5,27.9,97.51,336.4,48.8,29.774
2025-06-06 19:51:20,42,39,71.16,27.7,97.50,333.6,49.6,29.524
2025-06-06 19:56:20,38,35,71.04,27.6,97.50,331.8,49.6,29.274
2025-06-06 20:01:20,40,36,72.32,27.7,97.51,332.8,49.6,29.060000000000002
2025-06-06 20:06:20,36,32,73.22,27.7,97.54,332.2,49.8,28.848000000000003
2025-06-06 20:11:20,34,37,73.01,27.5,97.57,335.2,49.2,28.636000000000003
2025-06-06 20:16:20,36,32,73.88,27.4,97.57,333.2,49.6,28.412
2025-06-06 20:21:20,43,40,72.72,27.4,97.58,336.8,48.8,28.238
2025-06-06 20:26:20,46,33,71.92,27.5,97.56,335.0,49.2,28.072000000000003
2025-06-06 20:31:20,35,34,71.81,27.7,97.57,334.2,49.4,27.924
2025-06-06 20:36:20,45,26,71.09,27.6,97.57,337.2,48.8,27.786
2025-06-06 20:41:20,39,49,72.18,27.6,97.56,336.6,49.0,27.622000000000003
2025-06-06 20:46:20,36,32,72.71,27.5,97.55,335.2,49.2,27.462
2025-06-06 20:51:20,27,24,71.82,27.4,97.54,337.2,49.0,27.298000000000002
2025-06-06 20:56:20,41,33,74.22,27.2,97.54,336.8,48.8,27.148000000000003
2025-06-06 21:01:20,44,17,76.6,26.8,97.56,335.2,49.2,27.0
2025-06-06 21:06:20,31,36,76.36,26.6,97.58,333.6,49.2,26.884000000000004
2025-06-06 21:11:20,32,38,76.36,26.4,97.58,333.6,49.4,26.762
2025-06-06 21:16:20,38,29,77.18,26.5,97.58,332.8,49.4,26.662
2025-06-06 21:21:20,41,42,76.36,26.4,97.58,333.6,49.2,26.595999999999997
2025-06-06 21:26:20,36,38,76.38,26.8,97.60,339.2,48.2,26.488
2025-06-06 21:31:20,41,35,79.61,26.5,97.61,337.8,48.6,26.286
2025-06-06 21:36:20,37,28,84.23,26.0,97.62,334.2,49.2,26.048000000000002
2025-06-06 21:41:20,31,30,89.03,25.0,97.63,332.8,49.6,25.736
2025-06-06 21:46:20,37,40,89.15,24.7,97.62,334.6,49.0,25.424
2025-06-06 21:51:20,24,37,91.15,24.2,97.58,333.8,49.4,25.136000000000003
2025-06-06 21:56:20,30,25,94.23,24.0,97.58,334.0,49.4,24.874000000000002
2025-06-06 22:01:20,29,32,95.88,23.9,97.65,335.2,49.2,24.674
2025-06-06 22:06:20,40,26,95.75,23.8,97.66,336.0,49.2,24.488
2025-06-06 22:11:20,29,34,95.76,23.5,97.65,339.8,48.2,24.322
2025-06-06 22:16:20,26,41,96.07,23.5,97.65,338.4,48.6,24.188
2025-06-06 22:21:20,33,21,96.73,23.5,97.65,339.2,48.2,24.035999999999998
2025-06-06 22:26:20,30,29,96.52,23.2,97.68,338.8,48.8,23.898000000000003
2025-06-06 22:31:20,35,28,96.32,23.3,97.68,335.75,49.25,23.825
2025-06-06 22:36:20,34,36,96.58,23.0,97.66,337.0,48.8,23.726
